railway_station_code,railway_station_name,railway_latitude,railway_longitude,ghcnh_station_id,ghcnh_station_name,ghcnh_latitude,ghcnh_longitude,distance_km
SDB,Shahabad,17.121662999999998,76.943513,43121099999,GULBARGA,17.35,76.85,27.26
SDD,Sindhawadar,22.546528000000002,70.894135,42737099999,RAJKOT,22.309,70.78,28.9
SDE,Sadisopur,25.566169000000002,84.916992,42492099999,JAI PRAKASH NARAYAN INTL PATNA,25.591,85.088,17.37
SDF,Sudsar,28.012356,73.785795,42165099999,BIKANER,28.0,73.3,47.71
SDGH,Sri Dungargarh,28.070311,74.008011,42165099999,BIKANER,28.0,73.3,69.93
SDGM,Sardargram,23.070758,72.641987,42647099999,AHMEDABAD / SARDAR VALLABHBHAI PATEL INTL,23.077,72.635,1.0
SDH,Saradhna,26.3404260124,74.5662047516,42343099999,AJMER,26.45,74.617,13.19
SDI,Sagardighi,24.287789,88.105398,42603099999,BERHAMPORE,24.133,88.267,23.77
SDL,Shahdol,23.285961999999998,81.36407299999999,42679099999,UMARIA,23.533,80.883,56.25
SDLE,Swadinpur,24.253477999999998,87.822587,42603099999,BERHAMPORE,24.133,88.267,47.02
SDLP,Sadulpur,28.631138,75.386989,42174099999,PILANI,28.333,75.583,38.29
SDMD,Sudamdih,23.654478,86.44032,42705099999,PURULIA,23.333,86.417,35.83
SDMK,Sidmukh,28.893890064746117,75.290472144261,42131099999,HISAR,29.179,75.755,55.18
SDN,Sholavandan,10.02227,77.96508200000001,43359099999,MADURAI,9.917,78.117,20.34
SDNR,Seydunganallur,8.639358,77.834992,43376099999,PALAYANKOTTAI,8.733,77.75,13.99
SDRA,Sudharana,28.453681,76.425807,42176099999,ROHTAK,28.833,76.583,44.88
SDS,Sadulshahr,29.902641430417788,74.17270445264876,42123099999,GANGANAGAR,29.917,73.917,24.7
SDT,Sadat,25.673309,83.308384,42482099999,GHAZIPUR,25.4,83.55,38.87
SDV,Somidevipalle,15.4534,79.038111,43212099999,NANDYAL,15.467,78.483,59.51
SDVL,Soldevanahalli,13.091395,77.490385,43295099999,BANGALORE,12.967,77.583,17.09
SEB,Son Nagar,24.882212999999997,84.22927299999999,42588099999,DEHRI,24.917,84.183,6.06
SED,Shedbal,16.720293,74.752769,43158099999,SANGLI,16.85,74.6,21.74
SEE,Sonpur,25.696849,85.16685100000001,42492099999,JAI PRAKASH NARAYAN INTL PATNA,25.591,85.088,14.18
SEG,Shegaon,20.801724,76.690331,42933099999,AKOLA,20.7,77.033,37.38
SEGM,Sevagram,20.739076,78.619225,42939099999,WARDHA,20.667,78.583,8.86
SEH,Sehore,23.215095,77.07788199999999,42667099999,BHOPAL / RAJA BHOJ,23.287,77.337,27.65
SEJ,Sarkhej,22.981944000000002,72.497486,42647099999,AHMEDABAD / SARDAR VALLABHBHAI PATEL INTL,23.077,72.635,17.6
SELU,Selu,19.448059999999998,76.43326400000001,43017099999,PARBHANI,19.133,76.833,54.66
SEM,Seram,17.180683000000002,77.28353,43121099999,GULBARGA,17.35,76.85,49.74
SEN,Senapura,13.717680182199999,74.6840119482,43229099999,SHIRALI,14.067,74.533,42.12
SEO,Seohara,29.204807000000002,78.580977,42187099999,MORADABAD,28.833,78.75,44.49
SEP,Sodpur,22.698850999999998,88.382193,42809099999,NETAJI SUBHASH CHANDRA BOSE INTL,22.655,88.447,8.25
SES,Semari,24.07001,73.841822,42542099999,UDAIPUR / MAHARANA PRATAP,24.618,73.896,61.18
SEU,Sendra,26.077973999999998,74.194143,42343099999,AJMER,26.45,74.617,59.07
SEY,Seoni,22.075431,79.545769,42771099999,SEONI,22.083,79.55,0.95
SF,Settigunta,13.87431,79.382302,43275099999,TIRUPATHI,13.667,79.583,31.64
SFC,Saintala,20.433878,83.335045,42961099999,TITLAGARH,20.3,83.3,15.33
