station_code,station_name,latitude,longitude,state,zone,has_coordinates
ANPR,Anpara,24.217385999999998,82.766166,Uttar Pradesh,ECR,True
ANR,Anara,23.481082,86.559763,West Bengal,SER,True
ANSB,Anandpur Sahib,31.2305136,76.50060350000001,,,True
ANT,Anantnag,33.738534244499846,75.10713108815253,Jammu and Kashmir,NR,True
ANV,Annavaram,17.269633,82.41967700000001,,,True
ANVR,Anand Vihar,28.6486144,77.3140236,,,True
ANVT,Anand Vihar Terminal,28.650503565399998,77.31521255,,,True
ANW,Anawal,,,,,False
ANY,Arumuganeri,8.579144,78.091842,Tamil Nadu,SR,True
AO,Aonla,28.296051,79.16915,Uttar Pradesh,NR,True
APA,Amarpura,26.110972999999998,74.249302,Rajasthan,NWR,True
APDJ,Alipur Duar,26.523279,89.534048,West Bengal,NFR,True
APK,Aruppukkottai,9.524631680999999,78.10189147,,,True
APL,Appikatla,15.970371,80.514466,,,True
APMR,Appaipalli,,,,,False
APN,Ayodhyapattanam,11.671392,78.233642,,,True
APR,Anuppur,23.117312,81.695967,,,True
APT,Anaparti,16.935817,81.953181,,,True
APTA,Apta,18.863471,73.152629,Maharashtra,CR,True
AQG,Ashapura Gomat,26.950232,71.892665,Rajasthan,NWR,True
ARA,Ara,25.548889,84.66259600000001,,,True
ARCL,Arunachal,24.855593,92.742995,Assam,NFR,True
ARD,Amarda Road,21.734258,87.102374,,,True
ARGP,Aralaguppe,13.253131999999999,76.615439,Karnataka,SWR,True
ARI,Antri,26.0352337224,78.2266994458,,,True
ARJ,Aunrihar,25.54466,83.18727200000001,Uttar Pradesh,NER,True
ARK,Araku,18.333991,82.86256,Andhra Pradesh,ECoR,True
ARKV,Araku Valley,,,,,False
ARL,Araul Makanpur,26.920662,80.01863300000001,,,True
ARNA,Arniya,27.0101287751,76.5171796234,,,True
ARPL,Arepalli Halt,16.270533999999998,77.862369,,,True
ARPR,Alirajpur,,,,,False
ARQ,Arariya Court,26.114921000000002,87.446912,,,True
ARU,Arasalu,13.999308999999998,75.314466,Karnataka,SWR,True
ARV,Arni Road,12.630801,79.209033,Tamil Nadu,SR,True
AS,Arjansar,28.933796,73.87196899999999,Rajasthan,NWR,True
ASAF,Asifabad Road,19.256682,79.416719,,,True
ASCE,Athsarai,25.678728805000002,81.2620300824,,,True
ASD,Ambasamudram,,,,,False
ASE,Asaudah,28.73653776,76.85877285,Haryana,NR,True
ASH,Aishbagh,26.8373880081,80.90960679930001,,,True
ASK,Arsikere,13.314425,76.2520848,Karnataka,SWR,True
ASKN,Ashok Nagar,24.58015,77.726725,,,True
ASL,Aslaoda,23.231264309,75.60816015629999,,,True
ASN,Asansol,23.691441,86.975152,,,True
ASR,Amritsar,31.631511999999997,74.858025,,,True
AST,Asaoti,28.250878,77.323569,,,True
ASV,Asarva,23.043981000000002,72.612937,Gujarat,WR,True
AT,Asnoti,14.876286,74.147683,Karnataka,KR,True
ATC,Arts College,17.418129999999998,78.51966499999999,,,True
ATE,Atarra,25.291367,80.576491,Uttar Pradesh,NCR,True
ATH,Antah,25.1611771,76.3072684,Rajasthan,WCR,True
ATL,Athmal Gola,25.453014977800002,85.6213724115,,,True
ATNR,Awatarnagar,25.764395999999998,84.956774,,,True
ATP,Anantapur,14.686478,77.59531199999999,,,True
ATPA,Awantipura,,,,,False
ATQ,Arantangi,10.164469056963739,78.99684813804924,Tamil Nadu,SR,True
ATR,Attar,21.998734000000002,76.204918,Madhya Pradesh,WR,True
ATRU,Atru,24.8821354,76.6702185,Rajasthan,WCR,True
ATS,Attabira,21.388039,83.792637,,,True
ATU,Attur,11.594788,78.592092,,,True
ATUL,Atul,20.544593354,72.9271335858,Gujarat,WR,True
ATX,Alinagar Tola,,,,,False
AUB,Aluabari Road,26.269681,88.18561000000001,,,True
AUBR,Anugraha N Road,24.855955599999998,84.3298444,,,True
AUI,Aurahi,25.823021,87.135054,Bihar,ECR,True
AUN,Aurang Nagar,29.043935,75.974542,,,True
AUNG,Aung,26.16423,80.544495,,,True
AUS,Anupshahr,28.947951113517377,75.21122979931533,Rajasthan,NWR,True
AVD,Avadi,13.118247,80.10051800000001,,,True
AVK,Aravankadu,11.359124,76.769203,Tamil Nadu,SR,True
AVN,Anavardikhanpettai,13.05050406,79.56735042999999,,,True
AVRD,Aravali Road,17.316531,73.53816,Maharashtra,KR,True
AVS,Auvaneswsarem,9.036513,76.852807,Kerala,SR,True
AWB,Aurangabad,19.859276,75.31064599999999,Maharashtra,SCR,True
AWR,Alwar,27.559273,76.62126500000001,Rajasthan,NWR,True
AWY,Aluva,10.108163,76.356508,,,True
AXA,Amarsar,22.585991,70.91711000000001,Gujarat,WR,True
AY,Ayodhya,26.787784,82.200604,,,True
AYC,Ayodhya Cantt,,,,,False
AYD,Ayandur,11.966731999999999,79.34081,,,True
AYU,Abhayapuri Asam,26.356599,90.641696,Assam,NFR,True
AYV,Aryankavu,,,,,False
AYVN,Aryankavu New Block,,,,,False
AZ,Azimganj,24.219053,88.256764,West Bengal,ER,True
AZA,Azara,26.099339999999998,91.613927,Assam,NFR,True
AZR,Azamnagar Road,25.555555642399998,87.8523278357,,,True
BAB,Babina,25.237832,78.451748,,,True
BABH,Bahalba Halt,,,,,False
BABR,Balanagar,16.947622000000003,78.188891,,,True
BAF,Bap,27.2881821763,72.32740791990001,Rajasthan,?,True
BAGD,Bagwada,20.43948,72.916866,,,True
BAGJ,Barharagani,26.921354215,83.9195740283,,,True
BAGL,Bara Gopal,25.765088,84.906765,,,True
BAH,Bhabhar,24.065279999999998,71.615774,Gujarat,WR,True
BAHI,Balenahalli,14.250321000000001,76.56637599999999,Karnataka,SWR,True
BAHL,Banihal,,,,,False
BAHP,Band Hamirpur,26.32975,80.744382,Uttar Pradesh,NR,True
BAI,Bassi,26.840616999999998,76.047213,,,True
BAJ,Bhalej,22.633029999999998,73.034499,Gujarat,WR,True
BAK,Bhankari,26.962546793999998,76.4094554639,,,True
BAKA,Banka,24.8659010332,86.91169348999999,Bihar,?,True
BAKT,Barhara Kothi,25.776942,87.09631900000001,Bihar,ECR,True
BAL,Budalur,10.782843000000002,78.981443,Tamil Nadu,SR,True
BALU,Balugan,19.747366,85.200953,,,True
BAM,Brahmapur,19.2961348,84.7966912,,,True
BAMA,Birambad,26.922783000000003,77.32494000000001,Rajasthan,NCR,True
BAMR,Bamur,21.006738,84.475865,,,True
BAND,Banaswadi,13.00573,77.628196,,,True
BANE,Basni,26.222963,73.010639,Rajasthan,NWR,True
BANO,Bano,22.6647837973,84.90298541140001,,,True
BAO,Banmor,26.355565,78.0989272,,,True
BAP,Belapur,19.619569311800003,74.6617443079,,,True
BAPR,Ballupur,27.5865985855,79.1451478125,,,True
BAQ,Ganj Basoda,23.845347,77.944826,,,True
BAR,Bar,26.063048,74.113189,Rajasthan,NWR,True
BARH,Barh,25.46165,85.70942600000001,,,True
BARL,Baral,28.494092,77.80997500000001,Uttar Pradesh,NR,True
BAT,Batala,31.8214816,75.1944316,Punjab,NR,True
BAU,Burhanpur,21.3343976,76.1986787,Madhya Pradesh,CR,True
BAW,Chik Banavar,13.073539,77.50634099999999,Karnataka,SWR,True
BAWD,Bhadwad,21.323159150000002,74.09831697,,,True
