segment,mean,median,std,count
MQO->STKT,8.823529411764707,7.0,10.841098272993648,17
DKAE->RPH,308.1764705882353,130.0,358.3481608879341,17
DKAE->ADL,88.3529411764706,11.0,177.12317083616932,17
MRA->SANK,17.88235294117647,18.0,5.348859141690596,17
DHO->HET,12.117647058823529,12.0,4.728667266540019,17
SGO->NOI,21.823529411764707,2.0,52.970788287174905,17
SGO->KMZ,81.82352941176471,16.0,143.1717654140114,17
CHZ->KZJ,38.588235294117645,35.0,11.683636118143037,17
JHL->BTI,30.470588235294116,0.0,57.6412587118147,17
MRJ->KVK,30.823529411764707,2.0,68.6970116654626,17
NAD->RMA,71.5625,0.0,143.7613618698246,16
SYA->BQQ,22.875,17.5,16.214705259938174,16
YPD->KHT,12.375,11.0,7.455423082115014,16
YLK->VKI,19.75,20.5,8.590692637965812,16
YGL->NKD,22.5625,0.0,36.051756776427226,16
PKNS->SNGR,0.0,0.0,0.0,16
NAB->G,349.6875,192.0,424.99830882016465,16
APN->SXT,2.5625,0.0,5.597246346791131,16
DHE->KCT,27.875,1.0,64.78978829002813,16
GNT->SC,28.5625,0.0,114.25000000000001,16
SAHA->NXR,0.0,0.0,0.0,16
KUPR->HSX,48.4375,0.0,92.6412210267834,16
KUT->KWP,11.0,1.5,14.15627069534911,16
BWL->AIA,1.5,0.0,2.1908902300206643,16
BSL->NN,11.375,0.0,25.989420924676256,16
DKZ->DSB,0.0,0.0,0.0,16
BLS->JJKR,19.0,4.5,32.23455702606547,16
KIUL->JSME,4.9375,0.0,9.088224982543805,16
ANA->DMO,40.4375,35.5,18.428126148182656,16
MOU->SWR,85.8125,60.5,63.922055400829116,16
WRS->SHK,65.375,52.0,47.85377031471328,16
DKJ->PCZ,3.125,0.0,11.476788168589097,16
SURI->UDL,0.0,0.0,0.0,16
ENB->KNNA,2.5625,0.0,4.979541478221999,16
AK->NGP,43.625,1.0,131.27166487860205,16
KBJ->NPD,11.9375,5.0,14.892811465043573,16
GRKA->KNNK,3.875,0.0,7.649618726882188,16
KPD->TPT,7.9375,0.0,28.706488813506954,16
IB->BPH,45.9375,26.5,53.14190907372448,16
TIBI->TLI,2.4375,0.0,4.9661353183335635,16
CLE->YGL,28.25,0.0,36.81394663258297,16
SBRA->KOI,46.0625,21.0,102.78875992377117,16
NRLR->KSNG,21.6875,25.5,21.9900545701915,16
BRKA->MURI,2.9375,0.0,6.796751675126386,16
GEA->SAO,24.3125,18.0,16.07780561312188,16
SGRD->CPH,75.9375,77.5,77.98244994869037,16
BAQ->KAH,18.5,17.0,13.16054710108968,16
SXT->SA,12.375,0.0,48.44360982971163,16
GOL->MXW,62.375,48.5,70.42714912115451,16
KDQ->BCY,9.125,0.0,20.69098032154752,16
RBL->PRYJ,0.5625,0.0,1.2632629707758134,16
GW->GAJ,24.25,26.0,15.498387012847498,16
NXR->TRG,6.3125,5.0,4.238218965556168,16
RHG->SRRG,0.0,0.0,0.0,16
BPZ->LKU,5.0625,2.0,6.147831596045336,16
SMRR->JRK,23.0625,22.0,11.985929250583785,16
HSR->JHL,7.3125,1.0,13.011373230114234,16
GIMB->BHUJ,12.3125,0.0,35.08602523322735,16
JRC->KUPR,62.3125,17.5,95.10816211030472,16
SAO->SYA,26.3125,20.0,16.58400333654895,16
DBSI->VVKP,0.0,0.0,0.0,16
DRU->HSD,23.8125,13.5,27.437732535081437,16
VGE->APN,0.0,0.0,0.0,16
DSB->NDLS,6.4375,0.0,9.81813797689426,16
DRWN->GHAA,0.0,0.0,0.0,16
KHT->YLK,16.8125,16.5,7.807848615335725,16
BNU->GEA,24.75,21.0,15.914354107743948,16
BTPD->BDCR,7.5625,0.0,20.953818267800266,16
